title,website,,,designAreas,orgType
American Society of Landscaper Architecture Cornell Chapter,https://cals.cornell.edu/landscape-architecture/about/asla-student-chapter,,,Landscape,Recreational
Cornell Fashion Industry Network,http://www.fashionindustrynetwork.cornell.edu/,,,Fashion Design,Recreational
Cornell Fashion Collective,http://www.cornellfashioncollective.com/,,,Fashion Design,Recreational
Cornell Design & Tech Intiative,https://www.cornelldti.org/,,,Product Design,Project Team
Design by Biomedical Undergraduate Team (Cornell DEBUT),https://cornelldebut.org/,,,Product Design,Project Team
Cornell Creatives,https://cornellcreatives.com/,,,Fine Arts,Recreational
Creative Computing Club,https://www.creativecomputing.club/,,,Product Design,Recreational
CU Sustainable Design (CUSD),http://cusd.cornell.edu/,,,Architecture,Project Team
Medium Collective Design,https://cornellmedium.design/,,,Publication,Recreational
App DEV,https://www.cornellappdev.com/,,,Product Design,Project Team
Design Consulting at Cornell,https://cornell.campusgroups.com/dcc/home/,,,Product Design,Recreational
Cornell UX Design Club ,https://cornell.campusgroups.com/cuxd/home/,,,UX/UI Design,Recreational
Innovative Technology Film & Production Society at Cornell,https://cornell.campusgroups.com/innovativetechfilmandproductionsociety/home/,,,Digital Design,Recreational
Design and Engaged Media Organization,https://blogs.cornell.edu/demoprojectteam/,,,Digital Design,Recreational
Design and Environmental Analysis Graduate Student Association,https://cornell.campusgroups.com/deagsa/home/,,,Product Design,Recreational
Development in Games Association,https://cornell.campusgroups.com/dga/home/,,,Game Design,Recreational
TIPTOE&,https://cornell.campusgroups.com/ttand/home/,,,Publication,Recreational
THREAD,https://threadcornell.com/about/,,,Publication,Recreational
Social Enterprise at Cornell,https://socialenterpriseatcornell.com/index.html,,,Product Design,Recreational
Design Connect,https://www.designconnectcornell.org,,,Architecture,Recreational
American Society of Interior Designers (ASID),https://www.human.cornell.edu/studentlife/studentorganizations,,,Interior Design,Recreational
Human Factors and Ergonomics Society,http://www.ergo.human.cornell.edu,,,Interior Design,Recreational
Cornell University Healthy Futures (CUHFG),https://ihf.cornell.edu/cuhf-graduate-chapter/,,,Industrial Design,Recreational
Cornell Association of Ph.D. Planners (CAPP),https://blogs.cornell.edu/crp/cornell-association-of-ph-d-planners-capp/,,,Landscape,Recreational
National Organization of Minority Architects Students,https://aap.cornell.edu/resources/student-organization/nomas,,,Architecture,Recreational
