tag,title,semester,credits,level,department,major,description,designAreas,courseRoster,courseSite
COMM 3450,Human-Computer Interaction Design,"Fall, Spring, Summer",4,3000,"COLLEGE OF AGRICULTURE AND LIFE SCIENCES, THE ANN S. BOWERS COLLEGE OF COMPUTING AND INFORMATION SCIENCE",Communications,"This course focuses on user experience design (UX) and the life cycle of interface design from the user perspective. We will discuss key aspects of the human-centered design process: understanding, analyzing, and formalizing user needs, exploring possible design solutions to address user needs, creating prototypes to externalize design ideas, and evaluating the usability of these prototypes.",Digital Design,https://classes.cornell.edu/browse/roster/SP21/class/COMM/3450,
CS 5682,HCI and Design,Fall,3,5000,"THE ANN S. BOWERS COLLEGE OF COMPUTING AND INFORMATION SCIENCE, COLLEGE OF ENGINEERING",Computer Science,,Digital Design,https://classes.cornell.edu/browse/roster/FA20/class/CS/5682,
CRP 3348/5348,Design-Connect,"Fall, Spring",1-4,3000,"COLLEGE OF ARCHITECTURE, ART, AND PLANNING",City and Regional Planning,"Design Connect Workshop is the for-credit option for students participating in the local and regional projects solicited, reviewed and executed by the independent student organization of the same name.  It provides planning and design services to upstate New York communities. Student teams engage community partners to create conceptual designs, with research and analysis, participatory visioning and design charrettes, town and master planning for public spaces. Course can be repeated for credit.",Spatial Design,https://classes.cornell.edu/browse/roster/SP20/class/CRP/3348,
CRP 5851,Special Topics in Design,"Fall, Spring",3,5000,"COLLEGE OF ARCHITECTURE, ART, AND PLANNING",City and Regional Planning,This course addresses pertinent issues relative to the subject of design. Topics vary each semester.,Spatial Design,https://classes.cornell.edu/browse/roster/FA19/class/CRP/5851,
ECE 4760,Design With Microcontrollers,Spring,4,4000,COLLEGE OF ENGINEERING,Electrical and Computer Engineering,"Design of real-time digital systems using microprocessor-based embedded controllers. Students working in pairs design, debug, and construct several small systems that illustrate and employ the techniques of digital system design acquired in previous courses. The content focuses on the laboratory work. The lectures are used primarily for the introduction of examples, description of specific modules to be designed, and instruction in the hardware and high-level design tools to be employed.",Digital Design,https://classes.cornell.edu/browse/roster/SP21/class/ECE/4760,
ECE 5725,Design With Embedded OS,"Fall, Spring",4,5000,COLLEGE OF ENGINEERING,Electrical and Computer Engineering,"Design of microcontroller based systems using embedded Linux. Student teams design and debug example solutions on a target microcontroller (for example, Raspberry Pi) during lab sessions. Emphasis will be on application and Linux programming skills, processor and microcontroller architecture with some discussion of hardware interfaces. Students create a final, end-ofsemester project using the microcontroller platform and development techniques discussed during the semester.",Digital Design,https://classes.cornell.edu/browse/roster/SP21/class/ECE/5725,
HADM 3055/6055,"Health, Hospitality & Design",Spring,1,"3000, 6000",CORNELL SC JOHNSON COLLEGE OF BUSINESS,Hotel Administration,"This course provides students the opportunity to learn directly from invited industry speakers with expertise in a spectrum of industries that link health, wellness, senior living with hospitality and design thinking. The speakers share their views on business, managerial, career, and other critical industry-related issues.",Policy Design,https://classes.cornell.edu/browse/roster/SP21/class/HADM/3055,
HADM 3510,Hospitality Facilities Design,Spring,4,3000,CORNELL SC JOHNSON COLLEGE OF BUSINESS,Hotel Administration,"This intensive studio course provides the graphic skills necessary for design and experience in applying these skills in hospitality planning and design. Using hand drafting skills learned in class, students prepare design projects including design of guest rooms, guest room floors and public space and back-of-house functions. In addition to studio critiques, the course includes in-class discussions of site analysis, target markets, architectural choices and the use of inspirational precedents.",Policy Design,https://classes.cornell.edu/browse/roster/SP21/class/HADM/3510,
INFO 4240,Design Technology for Social Impact,"Spring, Summer",3,4000,"THE ANN S. BOWERS COLLEGE OF COMPUTING AND INFORMATION SCIENCE, COLLEGE OF ENGINEERING",Information Science,"The social impact of technologies is typically thought about fairly late, if ever, in the design process. Indeed, it can be difficult at design time to predict what effects technologies will have. Nevertheless, design decisions can inadvertently ""lock in"" particular values early on. In this course, we will draw on science & technology studies, technology design, and the arts to analyze the values embodied in technology design and to design technologies to promote positive social impact. What social and cultural values do technology designs consciously or unconsciously promote? To what degree can social impact be ""built into"" a technology? How can we take social and cultural values into account in design?",Digital Design,https://classes.cornell.edu/browse/roster/SP21/class/INFO/4240,
CS 1300,Design & Programming Web,Fall,3,1000,"COLLEGE OF ENGINEERING, THE ANN S. BOWERS COLLEGE OF COMPUTING AND INFORMATION SCIENCE",Computer Science,"The World Wide Web is both a technology and a pervasive and powerful resource in our society and culture. To build functional and effective web sites, students need technical and design skills as well as analytical skills for understanding who is using the web, in what ways they are using it, and for what purposes. In this course, students develop skills in all three of these areas through the use of technologies such as XHTML, Cascading Stylesheets, and PHP. Students study how web sites are deployed and used, usability issues on the web, user-centered design, and methods for visual layout and information architecture. Through the web, this course provides an introduction to the interdisciplinary field of information science.",Digital Design,https://classes.cornell.edu/browse/roster/FA20/class/CS/1300,
