title,departmentPage,type,academicLevel,school,designAreas,reasons
AEM,https://dyson.cornell.edu/,Major,UG,SC Johnson College of Business,Industrial Design,
Architecture,https://aap.cornell.edu/academics/architecture/undergraduate,Major,UG,"College of Architecture, Art, Planning",Spatial Design,
Design and Environmental Analysis,https://www.human.cornell.edu/dea,Major,UG,College of Human Ecology,Spatial Design,
Fiber Science and Apparel Design,https://www.human.cornell.edu/fsad,Major,UG,College of Human Ecology,Industrial Design,
Fine Arts,https://aap.cornell.edu/academics/art,Major,UG,"College of Architecture, Art, Planning",Art + Design,
History of Architecture (transfer students only),https://aap.cornell.edu/academics/architecture/graduate/haud,Major,UG,"College of Architecture, Art, Planning",Spatial Design,
Human Development,https://sha.cornell.edu/,Major,UG,School of Hotel Administration,"Policy Design, Industrial Design",
"Information Science, Systems, and Technology",https://infosci.cornell.edu/,Major,UG,College of Arts and Sciences,Digital Design,
Landscape Architecure,https://landscape.cals.cornell.edu/,Major,UG,College of Agriculture and Life Sciences,Spatial Design,
Mechanical Engineering,https://www.mae.cornell.edu/mae,Major,UG,College of Engineering,Industrial Design,
Performing and Media Arts,https://pma.cornell.edu/,Major,UG,College of Arts and Sciences,Art + Design,
PAM,https://www.human.cornell.edu/pam,Major,UG,Brooks School of Public Policy,Policy Design,
Psychology,https://psychology.cornell.edu/,Major,UG,College of Arts and Sciences,Industrial Design,
Science and Technology Studies,https://sts.cornell.edu/,Major,UG,College of Arts and Sciences,Digital Design,
Aerospace Engineering,https://www.mae.cornell.edu/mae/programs/undergraduate-programs/minors,Minor,UG,College of Engineering,Industrial Design,
Architecture,https://aap.cornell.edu/academics/architecture/undergraduate/minor-architecture,Minor,UG,"College of Architecture, Art, Planning",Spatial Design,
Cognitive Science,https://cogsci.cornell.edu/,Minor,UG,College of Arts and Sciences,Industrial Design,
Communication,https://communication.cals.cornell.edu/undergraduate-program/minor-requirements/,Minor,UG,College of Agriculture and Life Sciences,Policy Design,
Computing in the Arts,https://courses.cornell.edu/preview_program.php?catoid=31&poid=15167,Minor,UG,College of Arts and Sciences,Digital Design,
